"Lake","Month","Date_Sam","Phylum","RelAbund"
"Lake Mohegan","July","7-14_LM","Fibrobacterota",9.8595020951442e-05
"Lake Mohegan","July","7-14_LM","Firmicutes",0.00882425437515406
"Lake Mohegan","July","7-14_LM","Fusobacteriota",0
"Lake Mohegan","July","7-14_LM","Gemmatimonadota",4.9297510475721e-05
"Lake Mohegan","July","7-14_LM","Halobacterota",7.39462657135815e-05
"Lake Mohegan","July","7-14_LM","Hydrogenedentes",0
"Lake Mohegan","July","7-14_LM","Latescibacterota",0
"Lake Mohegan","July","7-14_LM","Methylomirabilota",0
"Lake Mohegan","July","7-14_LM","Micrarchaeota",0
"Lake Mohegan","July","7-14_LM","Modulibacteria",0
"Lake Mohegan","July","7-14_LM","Myxococcota",0.00665516391422233
"Lake Mohegan","July","7-14_LM","Nanoarchaeota",0
"Lake Mohegan","July","7-14_LM","Nitrospirota",0
"Lake Mohegan","July","7-14_LM","Patescibacteria",0.001059896475228
"Lake Mohegan","July","7-14_LM","Planctomycetota",0.041163421247227
"Lake Mohegan","July","7-14_LM","Proteobacteria",0.280453537096377
"Lake Mohegan","July","7-14_LM","Spirochaetota",0
"Lake Mohegan","July","7-14_LM","Sumerlaeota",0
"Lake Mohegan","July","7-14_LM","Thermoplasmatota",0
"Lake Mohegan","July","7-14_LM","Verrucomicrobiota",0.265738230219374
"Lake Mohegan","July","7-18_LM","Acidobacteriota",0.00155547147601631
"Lake Mohegan","July","7-18_LM","Actinobacteriota",0.0638584100559129
"Lake Mohegan","July","7-18_LM","Aenigmarchaeota",0
"Lake Mohegan","July","7-18_LM","Armatimonadota",0.00914364989279859
"Lake Mohegan","July","7-18_LM","Bacteroidota",0.0732542985664439
"Lake Mohegan","July","7-18_LM","Bdellovibrionota",0.00487661327615925
"Lake Mohegan","July","7-18_LM","Calditrichota",0
"Lake Mohegan","July","7-18_LM","Campylobacterota",6.30596544330937e-05
"Lake Mohegan","July","7-18_LM","Chloroflexi",0.00109303401017362
"Lake Mohegan","July","7-18_LM","Cloacimonadota",0
"Lake Mohegan","July","7-18_LM","Crenarchaeota",0
"Lake Mohegan","July","7-18_LM","Cyanobacteriota",0.422730903434649
"Lake Mohegan","July","7-18_LM","Deinococcota",0
"Lake Mohegan","July","7-18_LM","Dependentiae",0
"Lake Mohegan","July","7-18_LM","Desulfobacterota",0.00050447723546475
"Lake Mohegan","July","7-18_LM","Elusimicrobiota",0
"Lake Mohegan","July","7-18_LM","Euryarchaeota",0
"Lake Mohegan","July","7-18_LM","Fermentibacterota",0
"Lake Mohegan","July","7-18_LM","Fibrobacterota",0
"Lake Mohegan","July","7-18_LM","Firmicutes",0.00140833228233909
"Lake Mohegan","July","7-18_LM","Fusobacteriota",0.000147139193677219
"Lake Mohegan","July","7-18_LM","Gemmatimonadota",0
"Lake Mohegan","July","7-18_LM","Halobacterota",0
"Lake Mohegan","July","7-18_LM","Hydrogenedentes",0.000189178963299281
"Lake Mohegan","July","7-18_LM","Latescibacterota",0
"Lake Mohegan","July","7-18_LM","Methylomirabilota",0
"Lake Mohegan","July","7-18_LM","Micrarchaeota",0
"Lake Mohegan","July","7-18_LM","Modulibacteria",0
"Lake Mohegan","July","7-18_LM","Myxococcota",0.003363181569765
"Lake Mohegan","July","7-18_LM","Nanoarchaeota",0.000147139193677219
"Lake Mohegan","July","7-18_LM","Nitrospirota",0
"Lake Mohegan","July","7-18_LM","Patescibacteria",0
"Lake Mohegan","July","7-18_LM","Planctomycetota",0.064573086139488
"Lake Mohegan","July","7-18_LM","Proteobacteria",0.191301971665195
"Lake Mohegan","July","7-18_LM","Spirochaetota",0
"Lake Mohegan","July","7-18_LM","Sumerlaeota",0
"Lake Mohegan","July","7-18_LM","Thermoplasmatota",4.20397696220625e-05
"Lake Mohegan","July","7-18_LM","Verrucomicrobiota",0.161748013620885
"Lake Mohegan","July","7-22_LM","Acidobacteriota",0.0107204340341176
"Lake Mohegan","July","7-22_LM","Actinobacteriota",0.126558505921018
"Lake Mohegan","July","7-22_LM","Aenigmarchaeota",0
"Lake Mohegan","July","7-22_LM","Armatimonadota",0.0252491001095519
"Lake Mohegan","July","7-22_LM","Bacteroidota",0.0961709009337994
"Lake Mohegan","July","7-22_LM","Bdellovibrionota",0.00135635661745527
"Lake Mohegan","July","7-22_LM","Calditrichota",0
"Lake Mohegan","July","7-22_LM","Campylobacterota",0
"Lake Mohegan","July","7-22_LM","Chloroflexi",0.00628619124628306
"Lake Mohegan","July","7-22_LM","Cloacimonadota",0
"Lake Mohegan","July","7-22_LM","Crenarchaeota",0.000417340497678543
"Lake Mohegan","July","7-22_LM","Cyanobacteriota",0.0892326151598936
"Lake Mohegan","July","7-22_LM","Deinococcota",0.000469508059888361
"Lake Mohegan","July","7-22_LM","Dependentiae",0
"Lake Mohegan","July","7-22_LM","Desulfobacterota",0
"Lake Mohegan","July","7-22_LM","Elusimicrobiota",0
"Lake Mohegan","July","7-22_LM","Euryarchaeota",0.00151285930408472
"Lake Mohegan","July","7-22_LM","Fermentibacterota",0
"Lake Mohegan","July","7-22_LM","Fibrobacterota",0
"Lake Mohegan","July","7-22_LM","Firmicutes",0.0106160989096979
"Lake Mohegan","July","7-22_LM","Fusobacteriota",0
"Lake Mohegan","July","7-22_LM","Gemmatimonadota",0.000182586467734363
"Lake Mohegan","July","7-22_LM","Halobacterota",0.000965099900881632
"Lake Mohegan","July","7-22_LM","Hydrogenedentes",0.000208670248839272
"Lake Mohegan","July","7-22_LM","Latescibacterota",0
"Lake Mohegan","July","7-22_LM","Methylomirabilota",0
"Lake Mohegan","July","7-22_LM","Micrarchaeota",0
"Lake Mohegan","July","7-22_LM","Modulibacteria",0
"Lake Mohegan","July","7-22_LM","Myxococcota",0.00284313214043508
"Lake Mohegan","July","7-22_LM","Nanoarchaeota",5.21675622098179e-05
"Lake Mohegan","July","7-22_LM","Nitrospirota",0.000104335124419636
"Lake Mohegan","July","7-22_LM","Patescibacteria",0.00474724816109343
"Lake Mohegan","July","7-22_LM","Planctomycetota",0.0784339297824613
"Lake Mohegan","July","7-22_LM","Proteobacteria",0.245865720694872
"Lake Mohegan","July","7-22_LM","Spirochaetota",0.000886848557566905
"Lake Mohegan","July","7-22_LM","Sumerlaeota",0.000234754029944181
"Lake Mohegan","July","7-22_LM","Thermoplasmatota",0
"Lake Mohegan","July","7-22_LM","Verrucomicrobiota",0.296885596536074
"Lake Mohegan","June","6-01_LM","Acidobacteriota",0.0010776132120392
"Lake Mohegan","June","6-01_LM","Actinobacteriota",0.157983109039421
"Lake Mohegan","June","6-01_LM","Aenigmarchaeota",0
"Lake Mohegan","June","6-01_LM","Armatimonadota",0.00288198882289552
