"ASV","Module_Color","kIN_Within"
"16S_ASV_688","greenyellow",2.37291529784327
"16S_ASV_690","yellow",0.44167134429128
"16S_ASV_699","grey",1.13496092096921
"16S_ASV_701","turquoise",1.81600273059677
"16S_ASV_702","green",12.1757636054825
"16S_ASV_705","yellow",8.09613462808198
"16S_ASV_707","grey",0.65394892040331
"16S_ASV_709","red",1.35821024521315
"16S_ASV_711","green",12.0214014449048
"16S_ASV_714","brown",1.76162211556066
"16S_ASV_716","grey",1.18382172005182
"16S_ASV_717","grey",0.232333437033808
"16S_ASV_721","purple",6.34295152963699
"16S_ASV_729","purple",0.388535015997369
"16S_ASV_732","yellow",3.76840402137651
"16S_ASV_735","purple",2.11946832522117
"16S_ASV_736","red",2.51087971155828
"16S_ASV_739","grey",1.27663165910592
"16S_ASV_742","brown",1.61264948116692
"16S_ASV_743","greenyellow",5.70289077140855
"16S_ASV_745","purple",0.542689704213922
"16S_ASV_756","grey",2.18006658794717
"16S_ASV_759","brown",1.10542428148589
"16S_ASV_762","brown",1.09724036990854
"16S_ASV_770","purple",1.0068012871293
"16S_ASV_771","turquoise",3.27467668757743
"16S_ASV_773","greenyellow",0.81947572000745
"16S_ASV_782","brown",5.45682361068521
"16S_ASV_783","brown",2.66119621413143
"16S_ASV_784","brown",3.94999226661114
"16S_ASV_785","grey",0.772499160581751
"16S_ASV_786","pink",0.984898321187532
"16S_ASV_795","brown",4.92925256642954
"16S_ASV_801","greenyellow",2.5199424652287
"16S_ASV_809","pink",2.83171526228814
"16S_ASV_811","grey",0.285393818852329
"16S_ASV_815","blue",13.8625975713134
"16S_ASV_816","grey",3.25906901666559
"16S_ASV_820","turquoise",5.1583981688433
"16S_ASV_823","yellow",10.9925020550235
"16S_ASV_825","brown",2.1313968093818
"16S_ASV_828","grey",1.16389247412016
"16S_ASV_831","greenyellow",5.56426506847317
"16S_ASV_832","grey",0.192881590994154
"16S_ASV_840","green",13.7044547291919
"16S_ASV_842","brown",3.60860837062419
"16S_ASV_854","brown",1.25062986801313
"16S_ASV_856","greenyellow",2.20530310851721
"16S_ASV_860","brown",9.61887084591501
"16S_ASV_863","grey",0.31188037073155
"16S_ASV_864","black",0.75862093891295
"16S_ASV_865","grey",0.272452386278339
"16S_ASV_866","brown",2.08654995494288
"16S_ASV_867","yellow",2.24451255130938
"16S_ASV_870","brown",5.56232532443381
"16S_ASV_873","grey",1.41922577269829
"16S_ASV_878","grey",0.389451732755684
"16S_ASV_884","grey",0.526352452454055
"16S_ASV_886","grey",1.41055205142147
"16S_ASV_890","green",3.23333459038218
"16S_ASV_900","yellow",6.34991366771361
"16S_ASV_912","pink",5.09118227961038
"16S_ASV_920","yellow",3.76009819059388
"16S_ASV_922","yellow",9.28795802473302
"16S_ASV_928","brown",1.97157735621874
"16S_ASV_929","grey",0.288754809489245
"16S_ASV_933","purple",6.56442482099694
"16S_ASV_934","grey",1.48200771813781
"16S_ASV_937","greenyellow",1.44846961054737
"16S_ASV_940","magenta",0.364727009932139
"16S_ASV_943","grey",1.21305451449084
"16S_ASV_956","grey",1.13317480931577
"16S_ASV_957","magenta",0.900169103376056
"16S_ASV_960","grey",3.23193893042374
"16S_ASV_961","grey",1.16322778130977
"16S_ASV_966","greenyellow",1.42776615816092
"16S_ASV_978","grey",2.1456605313181
"16S_ASV_988","brown",2.96033025608025
"16S_ASV_998","greenyellow",4.45576007594257
"16S_ASV_1002","green",12.4970762375613
"16S_ASV_1012","grey",0.211960867182421
"16S_ASV_1014","brown",2.32235535447175
"16S_ASV_1018","brown",3.00251748921571
"16S_ASV_1028","yellow",4.17327216132785
"16S_ASV_1031","greenyellow",4.37753189559918
