"ASV","Module_Color","LM-6-1","LM-6-16","LM-6-19","LM-6-8","LM-7-14","LM-7-22","LM-7-28","LM-7-8","LM-8-12","LM-8-18","LM-8-26","LM-8-4","LM-9-1","LM-9-16","LM-9-9","LR-6-1","LR-6-16","LR-6-19","LR-6-8","LR-7-14","LR-7-22","LR-7-28","LR-7-8","LR-8-12","LR-8-18","LR-8-26","LR-8-4","LR-9-1","LR-9-16","LR-9-9","TTL-6-1","TTL-6-16","TTL-6-19","TTL-6-8","TTL-7-14","TTL-7-22","TTL-7-28","TTL-7-8","TTL-8-12","TTL-8-18","TTL-8-26","TTL-8-4","TTL-9-1","TTL-9-16","TTL-9-9"
"16S_ASV_567","turquoise",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309513035796121,0.407905080407009,0.350270003897354,0.200838578101374,0.27193672027134,0.183339699405642,0.281054437144578,0.37573457465109,0,0,0.259281489420866,0.424065953329325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16S_ASV_568","blue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174371458115729,0.192774900239015,0,0.554465898349423,0.338917194702282,0.221328910191341,0.320999284330262,0.320999284330262,0.505042144347942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16S_ASV_57","yellow",0,0,0,0,0,0.128904283091741,0.339383660305229,0,0.367690596320271,0.487765730504906,0.592309729541876,0.353553390593274,0,0,0.138779748995009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16S_ASV_570","brown",0.610640119818706,0.310821764829179,0.375070614820323,0,0,0,0,0.16974557231938,0,0,0,0,0,0,0.174666752921875,0,0,0,0.305320059909353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358906059188242,0.179453029594121,0,0,0,0.276172385369497,0,0,0,0,0,0
"16S_ASV_571","red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356537016406146,0,0,0.465778007791666,0.439568355302166,0.403375587271689,0,0.471204730775366,0.279224106579133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16S_ASV_572","grey",0.368855556781659,0,0.551744296488403,0,0.506757063185542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276641667586244,0.349927106111883,0,0,0.322089268058778,0,0,0,0,0,0,0
"16S_ASV_573","turquoise",0,0.378286281899376,0.206372085853249,0,0,0,0,0,0,0,0,0,0,0.362181540782818,0.222269538782371,0,0.270654453222931,0.308869455782702,0.308869455782702,0.366855044274124,0,0.314336596248442,0.148817027473669,0,0.244182744982501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233483362167112,0
"16S_ASV_576","brown",0.333618599396097,0,0.286691089540498,0,0,0,0,0.289662061010829,0,0,0,0,0,0,0.323190431161754,0,0,0,0.230395728651427,0,0,0,0,0,0,0,0,0,0,0,0.234082294392261,0.304081820279769,0,0.255085266432001,0,0,0,0,0.399057107871124,0.264963166217599,0,0.206901472150592,0,0.283689005875791,0
"16S_ASV_578","brown",0.28442047852757,0,0.227233606396756,0,0,0,0,0.268866428968932,0,0,0,0,0.366403180769213,0.219528519979381,0.321356847993242,0,0,0,0.223414282175976,0,0,0,0,0,0,0,0,0,0,0,0.241908646930101,0,0,0.272048390957152,0,0,0,0,0.368744438973208,0.344616826801847,0,0.227233606396756,0,0,0.143715151429591
"16S_ASV_579","blue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180993427200148,0,0.521932747682542,0.326950381134719,0.194758913744041,0.302290109571629,0.391724745021385,0.542980281600443,0.101709525543122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16S_ASV_58","red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236457932004528,0.320558635920311,0.437218256196136,0.277611922109476,0.301112406795629,0.267916727501201,0.0752781016989072,0.128928629920383,0,0.206615191967933,0.0890702511142043,0,0,0,0,0,0,0.108219089645996,0,0,0,0.174930500528385,0.173847329119792,0.420480592865116,0.102849466915147,0.278969445716498
"16S_ASV_580","green",0,0,0,0,0,0.253009566677724,0,0,0,0,0,0,0,0,0,0.117647058823529,0.3028126512055,0,0.166378066161541,0.195095575903259,0.259757672539054,0.401122991087819,0.355383705105723,0.203770683243397,0.31949354385883,0.259757672539054,0,0.155632430062623,0,0.418019717751526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16S_ASV_581","grey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418019717751526,0.490392117662737,0.279024499426622,0,0,0.242535625036333,0.594088525786005,0,0.30847319063828
"16S_ASV_582","purple",0,0.428612690924441,0,0.239149272108628,0,0.195264563008049,0,0.2665655498641,0,0.101973592258965,0,0,0.235497923763786,0.216318655764798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131647341523972,0.305920776776894,0,0,0,0.228019884200891,0,0,0,0.504743530117862,0,0,0,0,0.345809276132483
"16S_ASV_583","pink",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306186217847897,0.270030862433661,0.311804782231162,0.311804782231162,0.367990036096994,0,0,0.303337912053355,0.520416499866533,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16S_ASV_584","black",0.382546027838003,0.373326696473279,0,0,0,0,0,0.468521285665818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263981838674227,0,0.283088983929611,0.320604829105853,0,0,0,0.492097834526474,0,0,0,0,0,0,0
"16S_ASV_585","purple",0,0,0,0,0,0,0.244017742170258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350131323874298,0.473463964937746,0.452662874287608,0,0,0,0,0,0.442884985445149,0,0,0,0,0.438912842558203
"16S_ASV_586","brown",0,0.251312344975017,0.495594627783352,0.213574425172396,0.445247811937451,0.45305977298226,0,0.492041932316642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16S_ASV_587","greenyellow",0,0,0,0,0.319269817190284,0,0.172849579556619,0.30230514501574,0,0,0,0,0,0.421312702957211,0,0,0.205375903803045,0.240824593971445,0,0,0,0,0.296434583364376,0,0,0.182734549665563,0,0.26180393527837,0,0,0,0.319269817190284,0,0.251533084890191,0,0,0,0,0,0,0.379621493110749,0,0,0,0
"16S_ASV_589","grey",0,0,0,0,0.385580816913499,0.369165526343818,0.403524297170666,0.528815674596655,0,0,0,0,0,0,0,0,0,0.29449221333817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431092458719242
"16S_ASV_59","yellow",0,0,0,0,0,0.128977364992968,0.334528418463849,0,0.348911350395459,0.501792627695774,0.58526325810309,0.371986950194912,0,0,0.130434782608696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16S_ASV_591","grey",0,0,0,0,0,0.328870838428697,0,0,0,0,0,0,0.21053798026663,0.272888411454908,0.173614066168704,0,0.401680865526971,0,0,0,0,0,0,0.408248290463863,0.334218682391596,0.226756344379407,0,0,0,0,0,0,0,0,0.392753509403718,0,0,0,0,0,0,0.151821096656792,0,0.272888411454908,0
