"ASV","Module_Color"
"16S_ASV_197","pink"
"16S_ASV_207","pink"
"16S_ASV_208","pink"
"16S_ASV_212","pink"
"16S_ASV_221","pink"
"16S_ASV_233","pink"
"16S_ASV_234","pink"
"16S_ASV_235","pink"
"16S_ASV_251","pink"
"16S_ASV_254","pink"
"16S_ASV_266","pink"
"16S_ASV_276","pink"
"16S_ASV_280","pink"
"16S_ASV_282","pink"
"16S_ASV_284","pink"
"16S_ASV_287","pink"
"16S_ASV_295","pink"
"16S_ASV_304","pink"
"16S_ASV_308","pink"
"16S_ASV_316","pink"
"16S_ASV_328","pink"
"16S_ASV_331","pink"
"16S_ASV_333","pink"
"16S_ASV_343","pink"
"16S_ASV_350","pink"
"16S_ASV_360","pink"
"16S_ASV_363","pink"
"16S_ASV_364","pink"
"16S_ASV_380","pink"
"16S_ASV_381","pink"
"16S_ASV_383","pink"
"16S_ASV_392","pink"
"16S_ASV_411","pink"
"16S_ASV_436","pink"
"16S_ASV_438","pink"
"16S_ASV_468","pink"
"16S_ASV_510","pink"
"16S_ASV_515","pink"
"16S_ASV_583","pink"
"16S_ASV_677","pink"
"16S_ASV_786","pink"
"16S_ASV_809","pink"
"16S_ASV_912","pink"
"16S_ASV_1230","pink"
"18S_ASV_28","pink"
"18S_ASV_154","pink"
"18S_ASV_302","pink"
"18S_ASV_839","pink"
"16S_ASV_97","purple"
"16S_ASV_193","purple"
"16S_ASV_232","purple"
"16S_ASV_313","purple"
"16S_ASV_322","purple"
"16S_ASV_337","purple"
"16S_ASV_344","purple"
"16S_ASV_367","purple"
"16S_ASV_376","purple"
"16S_ASV_398","purple"
"16S_ASV_401","purple"
"16S_ASV_404","purple"
"16S_ASV_409","purple"
"16S_ASV_413","purple"
"16S_ASV_425","purple"
"16S_ASV_430","purple"
"16S_ASV_442","purple"
"16S_ASV_455","purple"
"16S_ASV_458","purple"
"16S_ASV_470","purple"
"16S_ASV_471","purple"
"16S_ASV_490","purple"
"16S_ASV_506","purple"
"16S_ASV_534","purple"
"16S_ASV_543","purple"
"16S_ASV_553","purple"
"16S_ASV_557","purple"
"16S_ASV_559","purple"
"16S_ASV_560","purple"
"16S_ASV_582","purple"
"16S_ASV_585","purple"
"16S_ASV_602","purple"
"16S_ASV_616","purple"
"16S_ASV_640","purple"
"16S_ASV_646","purple"
"16S_ASV_670","purple"
"16S_ASV_673","purple"
"16S_ASV_721","purple"
"16S_ASV_729","purple"
"16S_ASV_735","purple"
"16S_ASV_745","purple"
"16S_ASV_770","purple"
"16S_ASV_933","purple"
"16S_ASV_5","red"
"16S_ASV_10","red"
"16S_ASV_21","red"
"16S_ASV_36","red"
"16S_ASV_38","red"
"16S_ASV_44","red"
"16S_ASV_52","red"
"16S_ASV_56","red"
"16S_ASV_58","red"
"16S_ASV_61","red"
"16S_ASV_68","red"
"16S_ASV_80","red"
"16S_ASV_84","red"
"16S_ASV_87","red"
"16S_ASV_88","red"
"16S_ASV_108","red"
"16S_ASV_115","red"
"16S_ASV_120","red"
"16S_ASV_121","red"
"16S_ASV_130","red"
"16S_ASV_131","red"
"16S_ASV_142","red"
"16S_ASV_149","red"
"16S_ASV_150","red"
"16S_ASV_152","red"
"16S_ASV_154","red"
"16S_ASV_163","red"
