,18S-LM-6-1,18S-LM-6-16,18S-LM-6-19,18S-LM-6-8,18S-LM-7-14,18S-LM-7-22,18S-LM-7-28,18S-LM-7-8,18S-LM-8-12,18S-LM-8-18,18S-LM-8-26,18S-LM-8-4,18S-LM-9-1,18S-LM-9-16,18S-LM-9-9,18S-LR-6-1,18S-LR-6-16,18S-LR-6-19,18S-LR-6-8,18S-LR-7-14,18S-LR-7-22,18S-LR-7-28,18S-LR-7-8,18S-LR-8-12,18S-LR-8-18,18S-LR-8-26,18S-LR-8-4,18S-LR-9-1,18S-LR-9-16,18S-LR-9-9,18S-TTL-6-1,18S-TTL-6-16,18S-TTL-6-19,18S-TTL-6-8,18S-TTL-7-14,18S-TTL-7-22,18S-TTL-7-28,18S-TTL-7-8,18S-TTL-8-12,18S-TTL-8-18,18S-TTL-8-26,18S-TTL-8-4,18S-TTL-9-1,18S-TTL-9-16,18S-TTL-9-9,Domain,Supergroup,Division,Subdivision,Class,Order,Family,Genus,Species,Taxa
ASV_40,0,0,0,0,14045,72,0,12,0,0,0,0,0,82,0,0,0,0,82,0,0,0,0,0,0,63,0,334,180,0,0,0,0,0,22,43,0,0,0,35,0,96,60,0,0,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Synurales,Synuraceae,Mallomonas,Mallomonas_caudata,Stramenopiles
ASV_41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,24,67,0,14568,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Obazoa,Opisthokonta,Metazoa,Gastrotricha,Gastrotricha_X,Gastrotricha_XX,Chaetonotus,NA,Opisthokonta_Gastrotricha
ASV_42,153,56,147,1951,225,1008,3357,0,0,61,62,0,2894,2443,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,218,480,341,414,129,43,39,0,430,121,15,6,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Atractomorpha,Atractomorpha_echinata,Chlorophyta
ASV_43,83,454,146,17,0,0,0,0,0,0,0,0,0,0,0,9700,243,101,2904,0,0,0,0,0,0,0,0,0,0,0,289,0,0,514,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes,Peronosporales,NA,NA,Stramenopiles
ASV_44,552,648,1207,47,67,92,0,169,0,43,60,0,88,24,0,2716,570,414,1143,189,509,189,427,0,1679,845,52,0,0,0,353,75,20,1228,0,0,501,0,0,0,0,31,0,0,0,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes,Peronosporales,Pythiaceae,Pythiaceae_sp.,Stramenopiles
ASV_45,0,0,0,0,266,165,44,0,0,0,0,0,0,0,0,0,0,0,0,4360,1891,391,5449,113,218,0,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,NA,NA,NA,NA,Opisthokonta_Chytridiomycota
ASV_46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,103,0,2111,0,0,0,0,0,0,8212,0,274,1610,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Zygophlyctidales,Zygophlyctidaceae,Zygophlyctis,Zygophlyctis_asterionellae,Opisthokonta_Chytridiomycota
ASV_47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,18,0,141,0,178,135,1371,3216,935,4012,1979,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmaceae_X,Scenedesmaceae_X_sp.,Chlorophyta
ASV_48,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,230,232,582,301,593,87,85,123,36,261,668,624,0,0,0,0,0,0,0,0,0,0,0,1008,0,1107,0,0,6309,0,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes,Saprolegniales,Saprolegniales_X,Saprolegniales_X_sp.,Stramenopiles
ASV_49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,2062,6673,829,1174,401,837,160,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Ochromonadales,Ochromonadales_clade-X,Ochromonadales_clade-X_X,Ochromonadales_clade-X_X_sp.,Stramenopiles
ASV_50,0,0,0,0,382,12,340,0,0,0,0,0,0,0,0,0,0,17,0,3780,224,851,95,363,354,1025,0,603,230,3634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-Imbricatea,NA,NA,NA,NA,Rhizaria
ASV_51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1236,2862,900,156,1828,1596,534,727,395,437,342,0,0,0,0,0,0,374,70,0,0,0,209,38,0,0,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,NA,NA,Chlorophyta
ASV_52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2051,2484,92,29,95,5809,13,0,599,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Obazoa,Opisthokonta,Fungi,Zoopagomycota,Entomophthoromycotina,Entomophthorales,Entomophthora,Entomophthora_muscae,Opisthokonta_Zoopagomycota
ASV_53,39,322,2211,0,0,0,0,68,0,64,4336,30,66,0,85,3,559,292,112,0,142,1316,539,0,529,22,334,0,0,0,33,0,0,167,0,0,61,0,0,0,0,0,0,0,0,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes,Peronosporales,Peronosporales_X,Peronosporales_X_sp.,Stramenopiles
ASV_54,0,0,0,0,1199,69,741,28,15,147,247,0,152,8203,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Komma,Komma_caudata,Cryptophyta
ASV_55,24,1324,428,0,0,0,0,0,0,0,333,0,21,0,0,58,4928,616,215,207,70,89,169,1621,79,77,212,0,0,0,0,32,0,109,0,70,117,0,0,0,78,0,0,0,0,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes,Saprolegniales,Aphanomyces,Aphanomyces_sp.,Stramenopiles
