,16S-LM-6-1,16S-LM-6-16,16S-LM-6-19,16S-LM-6-8,16S-LM-7-14,16S-LM-7-22,16S-LM-7-28,16S-LM-7-8,16S-LM-8-12,16S-LM-8-18,16S-LM-8-26,16S-LM-8-4,16S-LM-9-1,16S-LM-9-16,16S-LM-9-9,16S-LR-6-1,16S-LR-6-16,16S-LR-6-19,16S-LR-6-8,16S-LR-7-14,16S-LR-7-22,16S-LR-7-28,16S-LR-7-8,16S-LR-8-12,16S-LR-8-18,16S-LR-8-26,16S-LR-8-4,16S-LR-9-1,16S-LR-9-16,16S-LR-9-9,16S-TTL-6-1,16S-TTL-6-16,16S-TTL-6-19,16S-TTL-6-8,16S-TTL-7-14,16S-TTL-7-22,16S-TTL-7-28,16S-TTL-7-8,16S-TTL-8-12,16S-TTL-8-18,16S-TTL-8-26,16S-TTL-8-4,16S-TTL-9-1,16S-TTL-9-16,16S-TTL-9-9
ASV_104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,1158,2115,57,908,137,0,24
ASV_105,257,102,74,76,217,10,230,281,499,168,22,122,229,61,254,0,0,152,73,29,0,0,0,0,0,63,0,144,0,0,307,163,52,311,0,0,0,0,0,140,0,0,36,0,287
ASV_106,49,0,0,39,0,0,0,0,0,0,0,0,566,111,250,0,0,0,0,0,0,0,0,64,353,552,0,56,0,17,0,0,0,0,123,117,64,0,1145,0,0,512,52,0,234
ASV_107,0,52,74,373,851,0,20,104,0,0,0,0,171,239,119,0,0,30,0,0,0,0,36,0,0,92,0,354,0,0,0,0,0,0,83,0,0,201,138,937,15,0,69,116,190
ASV_108,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2130,0,165,1307,0,548,8,51,0
ASV_109,739,0,0,74,74,0,60,65,12,0,0,41,3,51,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,120,15,0,0,0,1510,93,6,21,700,97,275
ASV_110,0,0,249,0,0,1701,200,0,76,264,52,122,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,215,0,767,0,0,0,0,307,0,72,0
ASV_111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2488,0,0,1703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_112,1970,320,191,0,0,0,0,0,0,0,0,0,0,0,0,793,83,150,46,0,0,0,0,17,0,0,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_113,0,0,0,0,230,0,28,54,73,94,0,62,28,0,20,0,91,6,81,29,313,213,7,0,94,873,0,7,0,0,18,238,79,15,168,18,19,209,732,0,0,51,0,111,155
